Name,LUN,SCSIController,HDName,DeviceNode,Nodo2,HDNameNodo2
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002263,SCSI controller 1,Hard disk 3,0,BOGPVBDWP010,Hard disk 2
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002262,SCSI controller 1,Hard disk 4,1,BOGPVBDWP010,Hard disk 3
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd000000000000236a,SCSI controller 1,Hard disk 5,2,BOGPVBDWP010,Hard disk 4
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002367,SCSI controller 1,Hard disk 6,3,BOGPVBDWP010,Hard disk 5
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002368,SCSI controller 1,Hard disk 7,4,BOGPVBDWP010,Hard disk 6
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002253,SCSI controller 1,Hard disk 8,5,BOGPVBDWP010,Hard disk 7
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002369,SCSI controller 1,Hard disk 9,6,BOGPVBDWP010,Hard disk 8
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd000000000000236b,SCSI controller 1,Hard disk 10,8,BOGPVBDWP010,Hard disk 9
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd000000000000236c,SCSI controller 1,Hard disk 11,9,BOGPVBDWP010,Hard disk 10
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd000000000000236d,SCSI controller 1,Hard disk 12,10,BOGPVBDWP010,Hard disk 11
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd000000000000236f,SCSI controller 1,Hard disk 13,11,BOGPVBDWP010,Hard disk 12
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002254,SCSI controller 1,Hard disk 14,12,BOGPVBDWP010,Hard disk 13
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002255,SCSI controller 1,Hard disk 15,13,BOGPVBDWP010,Hard disk 14
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd000000000000236e,SCSI controller 1,Hard disk 16,14,BOGPVBDWP010,Hard disk 15
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002370,SCSI controller 1,Hard disk 17,15,BOGPVBDWP010,Hard disk 16
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002371,SCSI controller 2,Hard disk 18,0,BOGPVBDWP010,Hard disk 17
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002372,SCSI controller 2,Hard disk 19,1,BOGPVBDWP010,Hard disk 18
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002267,SCSI controller 2,Hard disk 20,10,BOGPVBDWP010,Hard disk 19
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002264,SCSI controller 2,Hard disk 21,11,BOGPVBDWP010,Hard disk 20
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002265,SCSI controller 2,Hard disk 22,12,BOGPVBDWP010,Hard disk 21
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002266,SCSI controller 2,Hard disk 23,13,BOGPVBDWP010,Hard disk 22
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002268,SCSI controller 2,Hard disk 24,14,BOGPVBDWP010,Hard disk 23
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002306,SCSI controller 2,Hard disk 25,15,BOGPVBDWP010,Hard disk 24
BOGPVBDWP009,/vmfs/devices/disks/naa.6005076309ffd4bd0000000000002307,SCSI controller 3,Hard disk 26,0,BOGPVBDWP010,Hard disk 25
